中国共产党章程|||STATUTS DU PARTI COMMUNISTE CHINOIS
党的各级纪律检查委员会的职责是监督、执纪、问责，要经常对党员进行遵守纪律的教育，作出关于维护党纪的决定；对党的组织和党员领导干部履行职责、行使权力进行监督，受理处置党员群众检举举报，开展谈话提醒、约谈函询；检查和处理党的组织和党员违反党的章程和其他党内法规的比较重要或复杂的案件，决定或取消对这些案件中的党员的处分；进行问责或提出责任追究的建议；受理党员的控告和申诉；保障党员的权利。|||Les commissions de contrôle de la discipline du Parti aux différents échelons se chargent d’exercer le contrôle, de faire respecter la discipline et d’assurer la poursuite de responsabilités. Elles doivent sensibiliser régulièrement les membres du Parti au respect de la discipline et prendre les décisions ayant trait au maintien de la discipline du Parti ; contrôler l’exercice du devoir et du pouvoir par les organisations du Parti et les cadres dirigeants communistes, se pencher sur les dénonciations remises par les membres du Parti et les masses populaires, inviter à des entretiens d’avertissement, convoquer les intéressés, adresser les interrogatoires écrits ; examiner et traiter les infractions graves ou complexes aux statuts et aux autres règlements du Parti commises par les organisations et membres du Parti, décider d’infliger des sanctions aux membres du Parti y impliqués ou bien de les annuler ; mettre en cause les responsables ou proposer la poursuite de responsabilités ; recevoir et traiter les plaintes et les requêtes des membres du Parti ; et garantir les droits légitimes des membres du Parti.
各级纪律检查委员会要把处理特别重要或复杂的案件中的问题和处理的结果，向同级党的委员会报告。|||Les commissions de contrôle de la discipline aux différents échelons doivent présenter aux comités du Parti des échelons correspondants des comptes rendus sur les problèmes rencontrés au cours du règlement de cas particulièrement importants ou complexes et elles doivent proposer les solutions à y apporter.
党的地方各级纪律检查委员会和基层纪律检查委员会要同时向上级纪律检查委员会报告。|||Les commissions locales de contrôle de la discipline du Parti aux divers échelons, y compris celles de l’échelon de base, doivent en même temps en faire rapport aux commissions de contrôle de la discipline à l’échelon directement supérieur.
各级纪律检查委员会发现同级党的委员会委员有违犯党的纪律的行为，可以先进行初步核实，如果需要立案检查的，应当在向同级党的委员会报告的同时向上一级纪律检查委员会报告；涉及常务委员的，报告上一级纪律检查委员会，由上一级纪律检查委员会进行初步核实，需要审查的，由上一级纪律检查委员会报它的同级党的委员会批准。|||Lorsqu’une commission de contrôle de la discipline constate une infraction disciplinaire commise par un membre du comité du Parti de l’échelon correspondant, elle peut procéder à une vérification préliminaire et, si le cas exige une enquête officielle, elle soumettra un compte rendu au comité du Parti de l’échelon correspondant et en même temps à la commission de contrôle de la discipline à l’échelon immédiatement supérieur ; s’il s’agit d’un acte commis par un membre du comité permanent, elle le communiquera directement à la commission de contrôle de la discipline à l’échelon immédiatement supérieur, cette dernière effectuera une vérification préliminaire et, si une mise en examen s’impose, soumettra la demande à l’approbation du comité du Parti du même échelon.
第四十七条　上级纪律检查委员会有权检查下级纪律检查委员会的工作，并且有权批准和改变下级纪律检查委员会对于案件所作的决定。|||Article 47 Toute commission de contrôle de la discipline a le droit de contrôler les activités de celle qui lui est immédiatement inférieure et d’approuver ou de revoir ses décisions.
如果所要改变的该下级纪律检查委员会的决定，已经得到它的同级党的委员会的批准，这种改变必须经过它的上一级党的委员会批准。|||Mais si les décisions prises par la commission de l’échelon inférieur ont déjà été approuvées par le comité du Parti du même échelon, leur révision devra être soumise à l’approbation du comité du Parti de l’échelon supérieur.
党的地方各级纪律检查委员会和基层纪律检查委员会如果对同级党的委员会处理案件的决定有不同意见，可以请求上一级纪律检查委员会予以复查；如果发现同级党的委员会或它的成员有违犯党的纪律的情况，在同级党的委员会不给予解决或不给予正确解决的时候，有权向上级纪律检查委员会提出申诉，请求协助处理。|||Si les commissions locales de contrôle de la discipline du Parti aux différents échelons, y compris celles de l’échelon de base, sont en désaccord avec les décisions prises par les comités du Parti aux échelons correspondants, elles peuvent en demander la révision aux commissions de contrôle immédiatement supérieures ; si elles constatent que les comités du Parti aux échelons correspondants ou des membres de ces comités ont commis des infractions à la discipline du Parti et que lesdits comités refusent de s’amender ou ne prennent pas des mesures disciplinaires adéquates, elles ont le droit d’en appeler aux commissions de contrôle à l’échelon immédiatement supérieur.
第九章　党组|||CHAPITRE IX LES GROUPES DIRIGEANTS DU PARTI
第四十八条　在中央和地方国家机关、人民团体、经济组织、文化组织和其他非党组织的领导机关中，可以成立党组。|||Article 48 Un groupe dirigeant du Parti est instauré dans tout organisme dirigeant d’un organe d’État, central ou local, d’une organisation populaire, d’une organisation économique ou culturelle, ou de toute autre organisation extérieure au Parti.
党组发挥领导核心作用。|||Il doit jouer son rôle de noyau dirigeant.
党组的任务，主要是负责贯彻执行党的路线、方针、政策；加强对本单位党的建设的领导，履行全面从严治党责任；讨论和决定本单位的重大问题；做好干部管理工作；讨论和决定基层党组织设置调整和发展党员、处分党员等重要事项；团结党外干部和群众，完成党和国家交给的任务；领导机关和直属单位党组织的工作。|||Il a pour tâche principale de mettre à exécution la ligne, les principes et les mesures politiques du Parti ; de renforcer sa direction sur l’édification du Parti dans son unité et assumer la responsabilité de gérer le Parti avec la plus grande rigueur ; de discuter et de prendre des décisions sur les problèmes importants de son unité ; de bien gérer les cadres ; de discuter et de prendre des décisions sur les affaires importantes telles que la création ou la restructuration des organisations de base du Parti, l’admission des nouveaux adhérents et la sanction des membres fautifs ; de rallier les cadres non communistes et les masses dans l’accomplissement des tâches confiées par le Parti et l’État, et de diriger le travail des organisations du Parti dans les organismes et dans les unités relevant de ceux-ci.
第四十九条　党组的成员，由批准成立党组的党组织决定。|||Article 49 Les membres du groupe dirigeant du Parti sont désignés par l’organisation du Parti qui a approuvé sa constitution.
党组设书记，必要时还可以设副书记。|||Ce groupe dirigeant comporte un secrétaire et, le cas échéant, des secrétaires adjoints.
党组必须服从批准它成立的党组织领导。|||Le groupe dirigeant du Parti doit se soumettre à la direction de l’organisation du Parti qui a approuvé sa constitution.
第五十条　对下属单位实行集中统一领导的国家工作部门可以建立党委，党委的产生办法、职权和工作任务，由中央另行规定。|||Article 50 Les départements de l’État devant exercer une direction centralisée sur les unités relevant de leur autorité peuvent constituer des comités du Parti ; le Comité central définira les modalités de leur constitution, et fixera leurs attributions et leurs tâches.
第十章　党和共产主义青年团的关系|||CHAPITRE X LES RAPPORTS ENTRE LE PARTI ET LA LIGUE DE LA JEUNESSE COMMUNISTE
第五十一条　中国共产主义青年团是中国共产党领导的先进青年的群团组织，是广大青年在实践中学习中国特色社会主义和共产主义的学校，是党的助手和后备军。|||Article 51 Regroupant les jeunes d’avant-garde, la Ligue de la jeunesse communiste de Chine fait partie des organisations et groupements de masse placés sous la direction du Parti communiste chinois, et est une école où les jeunes s’initient par la pratique au socialisme à la chinoise et au communisme. Elle est l’auxiliaire et le détachement de réserve du Parti.
共青团中央委员会受党中央委员会领导。|||Son comité central est placé sous la direction du Comité central du Parti.
共青团的地方各级组织受同级党的委员会领导，同时受共青团上级组织领导。|||Ses organisations locales aux divers échelons sont placées sous la direction des comités du Parti aux échelons correspondants et, en même temps, de celle des organisations de la Ligue aux échelons supérieurs.
第五十二条　党的各级委员会要加强对共青团的领导，注意团的干部的选拔和培训。|||Article 52 Les comités du Parti à tous les échelons doivent renforcer leur direction sur les organisations de la Ligue de la jeunesse communiste et veiller à la sélection et à la formation de ses cadres.
党要坚决支持共青团根据广大青年的特点和需要，生动活泼地、富于创造性地进行工作，充分发挥团的突击队作用和联系广大青年的桥梁作用。|||Le Parti doit aider la Ligue de la jeunesse communiste à devenir une organisation dynamique, créative et constamment à l’écoute des besoins des jeunes, un détachement de choc du Parti et un pont entre celui-ci et la grande masse des jeunes.
团的县级和县级以下各级委员会书记，企业事业单位的团委员会书记，是党员的，可以列席同级党的委员会和常务委员会的会议。|||Les secrétaires des comités de la Ligue à l’échelon du district et au-dessous, ainsi que ceux des comités de la Ligue dans les entreprises et les établissements d’intérêt public, peuvent, s’ils sont membres du Parti, assister sans droit de vote aux réunions des comités du Parti aux échelons correspondants et à celles de leurs comités permanents.
第十一章　党徽党旗|||CHAPITRE XI L’EMBLÈME ET LE DRAPEAU DU PARTI
第五十三条　中国共产党党徽为镰刀和锤头组成的图案。|||Article 53 L’emblème du Parti communiste chinois est constitué du motif de la faucille et du marteau.
第五十四条　中国共产党党旗为旗面缀有金黄色党徽图案的红旗。|||Article 54 Le drapeau du Parti communiste chinois est un drapeau rouge orné de l’emblème doré du Parti.
第五十五条　中国共产党的党徽党旗是中国共产党的象征和标志。|||Article 55 L’emblème et le drapeau du Parti constituent le symbole et les signes distinctifs du Parti communiste chinois.
党的各级组织和每一个党员都要维护党徽党旗的尊严。|||Les organisations du Parti à tous les échelons et tous les membres du Parti doivent préserver l’inviolabilité de l’emblème et du drapeau du Parti.
要按照规定制作和使用党徽党旗。|||Ceux-ci doivent être confectionnés et utilisés selon le règlement établi.
