政府工作报告|||﻿RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
面对新的任务和挑战，各级政府要增强“四个意识”、坚定“四个自信”、做到“两个维护”，自觉在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，践行以人民为中心的发展思想，不断提高政治判断力、政治领悟力、政治执行力，落实全面从严治党要求。|||Face aux tâches et défis inédits, les gouvernements à tous les échelons doivent raffermir les « quatre consciences »[ Il s’agit de la conscience politique, de la conscience de l’intérêt général, de la conscience du noyau dirigeant et de la conscience de l’alignement. — N.D.T.] et la « quadruple confiance en soi »[ Il s’agit de la confiance dans notre voie, notre théorie, notre régime et notre culture. — N.D.T.] ; préserver résolument la position centrale du secrétaire général Xi Jinping dans le Comité central et le Parti ainsi que l’autorité et la direction centralisée et unifiée du Comité central du Parti ; agir en parfait accord, tant dans leur action que sur les plans idéologique et politique, avec le Comité central du Parti rassemblé autour du camarade Xi Jinping ; appliquer le concept de développement centré sur le peuple ; augmenter sans cesse leur jugement, leur perspicacité et leur efficacité politiques ; et mettre en œuvre les dispositions sur l’application intégrale d’une discipline rigoureuse au sein du Parti.
扎实开展党史学习教育。加强法治政府建设，切实依法行政。坚持政务公开。严格规范公正文明执法。|||Ils sont tenus de mener une campagne pour l’étude et l’enseignement de l’histoire du Parti communiste chinois, de renforcer la mise en place d’un gouvernement respectueux de la loi, d’exercer leurs pouvoirs en vertu de la loi, d’assurer la transparence de leurs activités administratives, et de veiller à ce que la loi soit appliquée de façon stricte, uniforme, équitable et policée.
依法接受同级人大及其常委会的监督，自觉接受人民政协的民主监督，主动接受社会和舆论监督。|||Ils doivent se soumettre, conformément à la loi, à la surveillance de l’assemblée populaire du même niveau et de son comité permanent ; se placer d’eux-mêmes sous la supervision démocratique de la CCPPC ; et se soumettre à la surveillance de l’opinion publique et des divers milieux de la société.
强化审计监督。|||Le contrôle par l’audit doit être renforcé.
支持工会、共青团、妇联等群团组织更好发挥作用。|||Ils doivent soutenir les organisations et groupements de masse tels que la Fédération nationale des syndicats, la Ligue de la jeunesse communiste et la Fédération des femmes pour qu’ils jouent mieux leur rôle.
深入推进党风廉政建设和反腐败斗争，锲而不舍落实中央八项规定精神。|||Il leur revient de poursuivre en profondeur la lutte contre la corruption et pour la probité au sein du Parti, et d’appliquer sans relâche l’esprit des « huit recommandations » du Comité central du Parti.
政府工作人员要自觉接受法律监督、监察监督和人民监督。|||Les fonctionnaires sont tenus de se soumettre volontairement à la supervision juridique, à l’inspection et à la surveillance du peuple.
加强廉洁政府建设，持续整治不正之风和腐败问题。|||Nous renforcerons l’édification d’un gouvernement intègre et continuerons à lutter contre les pratiques malsaines et les tentatives de corruption.
中国经济社会发展已经取得了辉煌的成就，但全面实现现代化还有相当长的路要走，仍要付出艰苦努力。|||Le développement économique et social de la Chine a remporté de brillants succès, mais il reste un très long chemin à parcourir avant que soit réalisée la modernisation du pays et des efforts ardus seront nécessaires pour atteindre au but.
必须立足社会主义初级阶段基本国情，着力办好自己的事。|||Nous devons mener à bien nos propres affaires en tenant compte du fait que la Chine se trouve toujours au stade primaire du socialisme.
要始终把人民放在心中最高位置，坚持实事求是，求真务实谋发展、惠民生。|||Nous devons, en mettant le peuple à la première place et conformément au principe de la recherche de la vérité dans les faits, travailler avec pragmatisme pour faire avancer le développement et améliorer la vie du peuple.
要力戒形式主义、官僚主义，切忌在工作中搞“一刀切”，切实为基层松绑减负。|||Il faut s’abstenir du formalisme et de la bureaucratie, éviter de mettre tout dans le même sac et alléger le fardeau des échelons de base.
要居安思危，增强忧患意识，事不畏难、责不避险，有效防范化解各种风险隐患。|||Nous devons aiguiser notre vigilance face aux risques éventuels même quand nous sommes en temps de paix, ne pas craindre les difficultés, ne pas fuir nos responsabilités, et savoir prévenir et éliminer efficacement les risques de toutes sortes.
要调动一切可以调动的积极因素，推进改革开放，更大激发市场主体活力和社会创造力，用发展的办法解决发展不平衡不充分问题。|||Nous devons déployer tous les facteurs positifs existants, faire avancer la réforme et l’ouverture, exploiter la vitalité des acteurs du marché, mobiliser l’initiative de toute la société, et utiliser le développement pour régler le problème du développement déséquilibré et insuffisant.
要担当作为，实干苦干，不断创造人民期待的发展业绩。|||Nous assumerons avec courage les tâches qui nous incombent, et nous travaillerons d’arrache-pied et sans reculer devant les sacrifices, afin d’accomplir sans cesse des exploits qui soient à la hauteur des attentes du peuple.
各位代表：|||Mesdames et Messieurs les députés,
我们要坚持和完善民族区域自治制度，全面贯彻党的民族政策，铸牢中华民族共同体意识，促进各民族共同团结奋斗、共同繁荣发展。|||Nous devons maintenir et parfaire le système d’autonomie des régions peuplées de minorités ethniques, appliquer sans réserve la politique du Parti à l’égard des ethnies minoritaires, et renforcer le sentiment d’appartenance à la communauté nationale chinoise, de sorte que toutes les ethnies mènent une lutte solidaire et progressent ensemble vers la prospérité.
全面贯彻党的宗教工作基本方针，坚持我国宗教的中国化方向，积极引导宗教与社会主义社会相适应。|||Il nous faut appliquer sur toute la ligne les principes fondamentaux du Parti en matière d’affaires religieuses, et veiller à ce que les religions se conforment toujours à la réalité chinoise et s’adaptent mieux à la société socialiste.
全面贯彻党的侨务政策，维护海外侨胞和归侨侨眷合法权益，更大凝聚中华儿女共创辉煌的磅礴力量。|||Nous devons appliquer intégralement la politique à l’égard des ressortissants chinois, et défendre les droits et intérêts légitimes des Chinois résidant à l’étranger et des Chinois d’outre-mer revenus dans la patrie, sans oublier leurs proches vivant en Chine, afin de renforcer la cohésion des Chinois et de remporter de nouveaux succès remarquables.
过去一年，国防和军队建设取得新的重大成就，人民军队在维护国家安全和疫情防控中展示出过硬本领和优良作风。|||Durant l’année écoulée, de nouveaux succès d’importance ont été réalisés dans l’édification de la défense nationale et des forces armées ; l’armée populaire a fait montre de ses excellentes compétences et de ses qualités exemplaires dans la sauvegarde de la sécurité de l’État et la lutte contre le COVID-19.
新的一年，要深入贯彻习近平强军思想，贯彻新时代军事战略方针，坚持党对人民军队的绝对领导，严格落实军委主席负责制，聚焦建军一百年奋斗目标，推进政治建军、改革强军、科技强军、人才强军、依法治军，加快机械化信息化智能化融合发展。|||Cette année, en appliquant scrupuleusement la pensée de Xi Jinping sur la montée en puissance de l’armée et en suivant la stratégie militaire de la nouvelle ère, elle devra toujours se soumettre à la direction absolue du Parti, et appliquer rigoureusement le système de la pleine responsabilité du président de la Commission militaire centrale. Pour réaliser l’objectif du centenaire de l’APL, elle devra s’édifier sur le plan politique, renforcer sa puissance grâce à la réforme, à l’appui des sciences et techniques et à l’amélioration de la qualité de ses effectifs, assurer son administration en vertu de la loi, et accélérer le développement intégré de sa mécanisation, de son informatisation et de ses techniques de l’intelligence artificielle.
全面加强练兵备战，统筹应对各方向各领域安全风险，提高捍卫国家主权、安全、发展利益的战略能力。|||L’armée devra renforcer ses entraînements militaires et sa préparation au combat ; parer aux risques en matière de sécurité, d’où qu’ils viennent et quelle que soit leur nature ; et élever ses capacités stratégiques à sauvegarder la souveraineté et la sécurité de l’État et à défendre les intérêts nationaux de développement.
优化国防科技工业布局，完善国防动员体系，强化全民国防教育。|||Il faut optimiser la répartition des industries relevant des sciences et techniques de la défense nationale, parfaire le système de mobilisation pour la défense, et améliorer la sensibilisation de toute la population à la défense nationale.
各级政府要大力支持国防和军队建设，深入开展“双拥”活动，谱写鱼水情深的时代华章。|||À tous les échelons, les autorités devront accorder un soutien énergique à l’édification de la défense nationale et de l’armée, inviter la population à soutenir l’armée et à aider les familles de militaires, et l’armée à seconder le gouvernement et à s’attacher au peuple, afin d’écrire un nouveau chapitre dans l’histoire des relations symbiotiques entre l’armée et le peuple.
各位代表：|||Mesdames et Messieurs les députés,
我们要继续全面准确贯彻“一国两制”、“港人治港”、“澳人治澳”、高度自治的方针，完善特别行政区同宪法和基本法实施相关的制度和机制，落实特别行政区维护国家安全的法律制度和执行机制。|||Nous continuerons à appliquer intégralement et avec précision les principes dits « un pays, deux systèmes », « administration de Hong Kong par les Hongkongais », « administration de Macao par les Macanais » ainsi que le principe consistant à leur accorder un haut degré d’autonomie ; perfectionnerons les systèmes et mécanismes des régions administratives spéciales en matière d’application de la Constitution et des lois fondamentales ; et appliquerons la législation et les mécanismes d’exécution de la loi locaux pour sauvegarder la sûreté de l’État.
坚决防范和遏制外部势力干预港澳事务，支持港澳发展经济、改善民生，保持香港、澳门长期繁荣稳定。|||Nous préviendrons et endiguerons fermement l’ingérence des forces extérieures dans les affaires de Hong Kong et de Macao. Nous accompagnerons Hong Kong et Macao dans leurs efforts à développer leur économie et à améliorer les conditions de vie de leurs habitants, et ferons en sorte que Hong Kong et Macao demeurent prospères et stables à long terme.
我们要坚持对台工作大政方针，坚持一个中国原则和“九二共识”，推进两岸关系和平发展和祖国统一。|||Nous poursuivrons notre principe directeur à l’égard de Taiwan, et resterons fidèles au principe d’une seule Chine et au « Consensus de 1992 » pour promouvoir un développement pacifique des relations entre les deux rives du détroit de Taiwan et la réunification du pays.
高度警惕和坚决遏制“台独”分裂活动。|||Nous resterons hautement vigilants face aux activités sécessionnistes visant à l’« indépendance de Taiwan » et les combattrons résolument.
完善保障台湾同胞福祉和在大陆享受同等待遇的制度和政策，促进海峡两岸交流合作、融合发展，同心共创民族复兴美好未来。|||Nous perfectionnerons les systèmes et politiques destinés à garantir le bien-être de nos compatriotes de Taiwan et à assurer à ces derniers le même traitement que les Chinois de la partie continentale, et promouvrons les échanges, la coopération et le développement intégré entre les deux rives, de manière à créer d’un même cœur un bel avenir pour le renouveau de la nation chinoise.
我们要坚持独立自主的和平外交政策，积极发展全球伙伴关系，推动构建新型国际关系和人类命运共同体。|||Nous resterons attachés à notre politique extérieure d’indépendance et de paix, travaillerons activement à nouer des partenariats dans le monde entier, et œuvrerons à établir un nouveau type de relations internationales et à construire une communauté de destin pour l’humanité.
坚持开放合作，推动全球治理体系朝着更加公正合理的方向发展。|||Nous poursuivrons l’ouverture et la coopération et ferons évoluer le système de gouvernance mondiale vers plus de justice et de raison.
持续深化国际和地区合作，积极参与重大传染病防控国际合作。|||Nous mènerons en profondeur la coopération internationale et régionale et participerons activement à la coopération internationale sur la prévention et le contrôle des maladies infectieuses graves.
中国愿同所有国家在相互尊重、平等互利基础上和平共处、共同发展，携手应对全球性挑战，为促进世界和平与繁荣不懈努力！|||Sur la base du respect mutuel, de l’égalité et des bénéfices réciproques, la Chine est prête à réaliser une coexistence pacifique et un développement commun avec les autres pays du monde et à relever avec eux les défis planétaires pour contribuer sans cesse à la paix et à la prospérité du monde.
各位代表：|||Mesdames et Messieurs les députés,
重任在肩，更须砥砺奋进。|||Plus les tâches que nous avons à réaliser sont lourdes, plus nous devons faire preuve de courage et de persévérance dans l’effort.
让我们更加紧密地团结在以习近平同志为核心的党中央周围，高举中国特色社会主义伟大旗帜，以习近平新时代中国特色社会主义思想为指导，齐心协力，开拓进取，努力完成全年目标任务，以优异成绩庆祝中国共产党百年华诞，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国、实现中华民族伟大复兴的中国梦不懈奋斗！|||Unissons-nous plus étroitement au Comité central du Parti rassemblé autour du camarade Xi Jinping, portons haut levé l’étendard du socialisme à la chinoise, adhérons à la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, conjuguons nos efforts, travaillons dans un esprit d’initiative et d’entreprise, afin de réaliser tous les objectifs que nous nous sommes fixés pour cette année et de célébrer le centenaire du Parti communiste chinois par des succès remarquables, et œuvrons sans relâche à faire de la Chine un grand pays socialiste moderne qui soit beau, prospère, puissant, démocratique, harmonieux et hautement civilisé, et à réaliser notre rêve du grand renouveau de la nation chinoise !
