政府工作报告|||Rapport d'activité du gouvernement
各类市场主体达到9800多万户，五年增加70%以上。|||Le nombre d'acteurs du marché a atteint plus de 98 millions, soit une augmentation de plus de 70 % sur cinq ans.
国内有效发明专利拥有量增加两倍，技术交易额翻了一番。|||Le nombre des inventions brevetées a été multiplié par trois ; quant au chiffre d'affaires réalisé dans les transferts de technologies, il a doublé.
我国科技创新由跟跑为主转向更多领域并跑、领跑，成为全球瞩目的创新创业热土。|||L'innovation scientifique et technologique chinoise, qui s'efforçait de suivre tant bien que mal celle des autres pays, l'a rattrapée et même dépassée dans davantage de domaines. La Chine est devenue un véritable eldorado pour l'innovation et l'entrepreneuriat, auquel le monde entier s'intéresse.
（四）坚持全面深化改革，着力破除体制机制弊端，发展动力不断增强。|||Persévérant dans l'approfondissement intégral de la réforme, nous avons éliminé les vices des institutions et des mécanismes, de sorte que les forces motrices du développement se sont accrues sans cesse.
国资国企改革扎实推进，公司制改革基本完成，兼并重组、压减层级、提质增效取得积极进展。|||La réforme des actifs de l'État et des entreprises publiques s'est poursuivie régulièrement ; la transformation des entreprises d'État en société à responsabilité limitée ou par actions a été achevée pour l'essentiel ; des progrès satisfaisants ont été enregistrés dans la réorganisation et la fusion des entreprises, la compression des échelons hiérarchiques, ainsi que l'amélioration des performances et de la rentabilité.
国有企业效益明显好转，去年利润增长23.5%。|||La rentabilité des entreprises publiques s'est améliorée sensiblement, et leurs bénéfices ont progressé de 23,5 % en 2017.
深化能源、铁路、盐业等领域改革。|||La réforme s'est approfondie dans les domaines de l'énergie, des chemins de fer et de l'industrie du sel.
放宽非公有制经济市场准入。|||L'accès de l'économie non publique au marché a été élargi.
建立不动产统一登记制度。|||Un système d'enregistrement unique des biens immobiliers a été mis en place.
完善产权保护制度。|||Le système de protection des droits de propriété a été amélioré.
财税改革取得重大进展，全面推行财政预决算公开，构建以共享税为主的中央和地方收入分配格局，启动中央与地方财政事权和支出责任划分改革，中央对地方一般性转移支付规模大幅增加、专项转移支付项目减少三分之二。|||La réforme du système fiscal et financier a fait de grands progrès ; nous avons généralisé la publication des budgets et des bilans des finances ; un schéma de répartition des recettes budgétaires entre les instances centrales et locales a été établi, dans lequel la fiscalité partagée occupe la place la plus importante ; une réforme a été également lancée pour délimiter leurs attributions en matière de budget, ainsi que leurs responsabilités en matière de dépenses publiques ; les transferts de paiements courants destinés aux instances locales par les instances centrales se sont accrus considérablement, et les catégories de transferts de paiement spéciaux ont diminué des deux tiers.
基本放开利率管制，建立存款保险制度，推动大中型商业银行设立普惠金融事业部，深化政策性、开发性金融机构改革，强化金融监管协调机制。|||Le contrôle des taux d'intérêt a été levé pour l'essentiel, et un système de garantie des dépôts bancaires, établi. Les grandes et moyennes banques commerciales ont été encouragées à créer en leur sein des départements de finance inclusive. Nous avons approfondi la réforme des établissements financiers de développement ou à vocation politique, et intensifié le mécanisme de coordination du contrôle financier.
稳步推进教育综合改革，完善城乡义务教育均衡发展促进机制，改革考试招生制度。|||Nous avons fait avancer à pas assurés la réforme générale du système éducatif, amélioré le mécanisme d'incitation au développement équilibré de l'éducation obligatoire dans les régions urbaines et rurales, et réformé le système d'organisation des examens et de recrutement des élèves.
建立统一的城乡居民基本养老、医疗保险制度，实现机关事业单位和企业养老保险制度并轨。|||Des régimes uniques d'assurance vieillesse de base et d'assurance maladie pour les citadins et les ruraux ont été mis en place, et les régimes d'assurance vieillesse au sein des organismes d'État et des institutions publiques, ainsi que dans les entreprises, ont été unifiés.
出台划转部分国有资本充实社保基金方案。|||Un programme sur le transfert d'une partie du capital public à la caisse de protection sociale a été lancé.
实施医疗、医保、医药联动改革，全面推开公立医院综合改革，取消长期实行的药品加成政策，药品医疗器械审批制度改革取得突破。|||Nous avons mené les réformes visant à coordonner les soins médicaux, l'assurance maladie et les services pharmaceutiques. En étendant à l'ensemble du pays la réforme générale des hôpitaux publics, nous avons annulé les marges des hôpitaux dans la vente des médicaments qui existaient depuis longtemps, et réalisé des percées dans la réforme du système d'approbation des médicaments et des appareils médicaux.
推进农村承包地“三权”分置改革、确权面积超过80%，改革重要农产品收储制度。|||Nous avons promu la distinction entre le droit de propriété, le droit de prise en charge forfaitaire et le droit d'exploitation de terres agricoles, validé les droits de propriété et d'utilisation de 80 % des terres dans les campagnes, et réformé le système d'achat et de stockage des principaux produits agricoles.
完善主体功能区制度，建立生态文明绩效考评和责任追究制度，推行河长制、湖长制，开展省级以下环保机构垂直管理制度改革试点。|||Nous avons perfectionné le système des régions à fonctions spécifiques, établi un système d'évaluation des performances et de recours en responsabilité pour la civilisation écologique, instauré un système de "responsable de rivière" et de "responsable de lac", et lancé à titre d'essai un système d'administration directe plaçant sous l'autorité provinciale tous les services des échelons inférieurs chargés de la protection de l'environnement.
各领域改革的深化，推动了经济社会持续健康发展。|||L'approfondissement des diverses réformes a contribué à la santé et à la durabilité du développement socioéconomique.
