政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
推进“两学一做”学习教育常态化制度化。严格落实中央八项规定及其实施细则精神，坚定不移纠正“四风”。|||Nous avons veillé à rendre systématique et régulière la campagne d'éducation dite « deux études et une ligne d'action », à observer l'esprit des « huit recommandations » accompagnées des modalités d'application formulées par le Comité central du Parti, et à corriger fermement les « quatre vices »[ Il s'agit du formalisme, de la bureaucratie, de l'hédonisme et du goût du luxe. -- N.D.T.].
严肃查处各类违法违规行为，惩处腐败分子，反腐败斗争取得压倒性胜利。|||En sévissant contre tous les actes contraires à la loi et aux règlements et en sanctionnant les éléments corrompus, nous avons remporté des succès remarquables dans la lutte contre la corruption.
过去一年，中国特色大国外交取得新成就。|||Durant l'année 2018, notre diplomatie de grande nation à la chinoise a connu des résultats inédits.
成功举办博鳌亚洲论坛年会、上合组织青岛峰会、中非合作论坛北京峰会等重大主场外交活动。|||Appliquant notre « diplomatie à domicile », nous avons organisé avec succès la conférence annuelle du Forum asiatique de Boao, le Sommet de Qingdao de l'Organisation de coopération de Shanghai et le Sommet de Beijing du Forum sur la coopération sino-africaine.
习近平主席等国家领导人出访多国，出席亚太经合组织领导人非正式会议、二十国集团领导人峰会、金砖国家领导人会晤、亚欧首脑会议、东亚合作领导人系列会议等重大活动。|||Le président Xi Jinping et d'autres dirigeants de l'État ont fait des visites à l'étranger et participé à des activités internationales importantes, notamment la réunion non officielle des dirigeants des pays de l'APEC, le Sommet du G20, la rencontre des dirigeants des pays BRICS, le Sommet Asie-Europe, et les conférences des chefs d'État sur la coopération en Asie de l'Est.
同主要大国关系总体稳定，同周边国家关系全面发展，同发展中国家团结合作纽带更加牢固。|||Nous avons maintenu la stabilité de nos relations avec les principales grandes puissances, développé sur tous les plans nos rapports avec nos voisins et rendu plus solides nos liens de solidarité et de coopération avec le reste des pays en voie de développement.
推动构建新型国际关系，推动构建人类命运共同体。|||Nous avons œuvré à la mise en place d'un nouveau modèle de relations internationales et à l'instauration de la communauté de destin pour l'humanité.
坚定维护国家主权、安全、发展利益。|||Nous avons défendu fermement la souveraineté, la sécurité et les intérêts de la Chine en matière de développement.
经济外交、人文交流成果丰硕。|||Notre diplomatie économique et nos échanges socioculturels avec l'étranger ont donné des fruits abondants.
中国致力于促进世界和平与发展，作出了世人共睹的重要贡献。|||La Chine tient à promouvoir la paix mondiale et le développement planétaire, et elle a apporté une contribution remarquable aux yeux du monde entier.
各位代表！|||Mesdames et Messieurs les députés,
过去一年取得的成绩，是以习近平同志为核心的党中央坚强领导的结果，是习近平新时代中国特色社会主义思想科学指引的结果，是全党全军全国各族人民团结奋斗的结果。|||Les succès que nous avons obtenus l'année dernière sont dus à la ferme direction du Comité central du Parti rassemblé autour du camarade Xi Jinping, aux lumières de sa pensée sur le socialisme à la chinoise de la nouvelle ère, et aux efforts conjugués du Parti, de l'armée et du peuple chinois dans sa diversité ethnique.
我代表国务院，向全国各族人民，向各民主党派、各人民团体和各界人士，表示诚挚感谢！向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞，表示诚挚感谢！向关心和支持中国现代化建设的各国政府、国际组织和各国朋友，表示诚挚感谢！|||Je tiens ici à exprimer, au nom du Conseil des affaires d'État, nos sincères remerciements à toutes nos communautés ethniques, à tous les partis et groupements démocratiques, à toutes les organisations populaires, aux personnalités de tous les milieux, à nos concitoyens des régions administratives spéciales de Hong Kong et de Macao, à nos compatriotes de Taiwan, ainsi qu'aux Chinois résidant à l'étranger. Nous remercions aussi de tout cœur les gouvernements des divers pays, les organisations internationales et nos amis partout dans le monde qui s'intéressent à la Chine et apportent leur soutien à la modernisation de la Chine.
思危方能居安。|||Prévoir les dangers assure la sécurité.
在充分肯定成绩的同时，要清醒看到我国发展面临的问题和挑战。|||Tout en nous félicitant des succès obtenus, nous devons en même temps être conscients des problèmes et défis auxquels est confronté notre développement.
世界经济增速放缓，保护主义、单边主义加剧，国际大宗商品价格大幅波动，不稳定不确定因素明显增加，外部输入性风险上升。|||La croissance de l'économie mondiale se ralentit, le protectionnisme et l'unilatéralisme s'aggravent, le prix des produits de grande consommation connaît de fortes fluctuations, les facteurs d'instabilité et d'incertitude se multiplient à vue d'œil, les risques importés tendent à augmenter.
国内经济下行压力加大，消费增速减慢，有效投资增长乏力。|||Notre économie est sous une pression à la baisse de plus en plus forte, la hausse de la consommation s'est ralentie, les investissements productifs ont peine à augmenter, et l'économie réelle se heurte à de nombreux écueils.
实体经济困难较多，民营和小微企业融资难融资贵问题尚未有效缓解，营商环境与市场主体期待还有较大差距。|||Les difficultés que rencontrent les entreprises privées et les PEMIC pour obtenir des financements, notamment le coût trop élevé du crédit, demeurent. L'environnement des affaires est loin de répondre aux attentes des acteurs du marché.
自主创新能力不强，关键核心技术短板问题凸显。|||Notre capacité en matière d'innovation autonome reste faible, nos technologies clés et technologies de base laissent toujours à désirer.
一些地方财政收支矛盾较大。|||Certaines administrations locales ont des budgets gravement déficitaires.
金融等领域风险隐患依然不少。|||Certains secteurs, dont la finance, sont encore exposés à de multiples risques.
深度贫困地区脱贫攻坚困难较多。生态保护和污染防治任务仍然繁重。|||De nombreuses difficultés se posent toujours dans la lutte contre la pauvreté dans les régions de grande pauvreté, de même que dans la protection de l'environnement et la dépollution.
在教育、医疗、养老、住房、食品药品安全、收入分配等方面，群众还有不少不满意的地方。|||Le peuple a de nombreuses sources d'insatisfaction en matière d'éducation, de santé, de services aux personnes âgées, de logement, de sécurité des produits alimentaires et pharmaceutiques, de distribution des revenus, etc.
