政府工作报告|||﻿RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
国防和军队建设水平大幅提升。国家安全全面加强，社会保持和谐稳定。|||Nous avons relevé sensiblement le niveau de l'édification de la défense nationale et de l'armée, renforcé sur tous les fronts la sécurité nationale et maintenu l'harmonie et la stabilité sociales.
经过五年持续奋斗，“十三五”规划主要目标任务胜利完成，中华民族伟大复兴向前迈出了新的一大步。|||Grâce à ces cinq années de travail ardu, les objectifs principaux fixés dans le XIIIe Plan quinquennal ont été atteints, et le grand renouveau de la nation chinoise a fait un grand pas en avant.
“十四五”时期是开启全面建设社会主义现代化国家新征程的第一个五年。|||La période que couvre le XIVe Plan quinquennal représente les cinq premières années dans la nouvelle marche qui conduira à l'édification intégrale d'un pays socialiste moderne.
我国发展仍然处于重要战略机遇期，但机遇和挑战都有新的发展变化。|||La Chine se trouve toujours dans une période importante et riche en opportunités stratégiques pour son développement, mais les opportunités et les défis se présentent sous un jour nouveau.
要准确把握新发展阶段，深入贯彻新发展理念，加快构建新发展格局，推动高质量发展，为全面建设社会主义现代化国家开好局起好步。|||Il faut bien comprendre la nouvelle phase de développement, appliquer en profondeur notre nouvelle vision de développement, accélérer la mise en place d'un nouveau modèle de développement et promouvoir le développement centré sur la qualité, afin d'assurer le bon départ de l'édification intégrale d'un pays socialiste moderne.
根据《中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议》，国务院编制了《国民经济和社会发展第十四个五年规划和2035年远景目标纲要（草案）》。|||Selon les Propositions du Comité central du Parti communiste chinois sur l'élaboration du XIVe Plan quinquennal de développement économique et social et des objectifs pour 2035, le Conseil des affaires d'État a rédigé le Projet de programme du XIVe Plan quinquennal de développement économique et social et des objectifs pour 2035.
《纲要草案》坚持以习近平新时代中国特色社会主义思想为指导，实化量化“十四五”时期经济社会发展主要目标和重大任务，全文提交大会审查，这里概述几个方面。|||C'est en nous guidant fermement sur la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère que nous avons concrétisé et chiffré les objectifs principaux et les tâches importantes fixés pour la période du XIVe Plan quinquennal. Le Projet entier sera soumis à l'examen de la présente session de l'Assemblée. En voici le résumé en quelques points :
——着力提升发展质量效益，保持经济持续健康发展。|||— Améliorer la qualité et la rentabilité du développement, et assurer le développement sain et régulier de l'économie.
发展是解决我国一切问题的基础和关键。|||Le développement est la base et la clé pour résoudre tous nos problèmes.
必须坚持新发展理念，把新发展理念完整、准确、全面贯穿发展全过程和各领域，引导各方面把工作重点放在提高发展质量和效益上，促进增长潜力充分发挥。|||Il faut adhérer fermement à la nouvelle vision de développement, la faire régir intégralement, précisément et globalement tout le processus de développement et l'appliquer à tous les secteurs d'activités, inciter tous les secteurs à mettre l'accent sur l'amélioration de la qualité et de la rentabilité du développement, et promouvoir la mise en valeur maximale du potentiel de croissance.
经济运行保持在合理区间，各年度视情提出经济增长预期目标，全员劳动生产率增长高于国内生产总值增长，城镇调查失业率控制在5.5%以内，物价水平保持总体平稳，实现更高质量、更有效率、更加公平、更可持续、更为安全的发展。|||Nous maintiendrons l'activité économique dans des marges raisonnables ; nous nous fixerons un objectif de croissance économique selon la situation de chaque année ; la croissance de la productivité du travail devra être supérieure à celle du PIB ; le taux de chômage au sens du recensement devra être maintenu en dessous de 5,5 % ; le niveau des prix devra rester stable dans l'ensemble ; enfin, nous nous efforcerons de réaliser un développement plus efficace, plus équitable, plus durable, plus sûr et de meilleure qualité.
——坚持创新驱动发展，加快发展现代产业体系。|||— Promouvoir le développement fondé sur l'innovation et accélérer le développement d'un système industriel moderne.
坚持创新在我国现代化建设全局中的核心地位，把科技自立自强作为国家发展的战略支撑。|||Il faut insister sur la position centrale de l'innovation dans notre entreprise de modernisation, et faire de l'indépendance et du progrès scientifiques et technologiques un pilier stratégique du développement de notre pays.
完善国家创新体系，加快构建以国家实验室为引领的战略科技力量，打好关键核心技术攻坚战，制定实施基础研究十年行动方案，提升企业技术创新能力，激发人才创新活力，完善科技创新体制机制，全社会研发经费投入年均增长7%以上、力争投入强度高于“十三五”时期实际。|||Il faut améliorer le système national de l'innovation ; accélérer la constitution de forces scientifiques et technologiques d'intérêt stratégique tirées par la locomotive de laboratoires nationaux ; mener à bien la bataille acharnée pour réaliser des percées dans les technologies clés et les technologies de base ; élaborer et mettre en œuvre le plan d'action décennal sur la recherche fondamentale ; renforcer la capacité d'innovation technologique des entreprises ; galvaniser l'esprit d'innovation des talents ; améliorer les systèmes et mécanismes de l'innovation scientifique et technologique ; réaliser une augmentation annuelle moyenne de plus de 7 % de l'investissement en R-D, et chercher à réaliser un rapport plus élevé entre ce dernier et le PIB que celui obtenu en termes réels durant le XIIIe Plan quinquennal.
广泛开展科学普及活动。|||Nous devons lancer sur une grande échelle des activités favorisant la vulgarisation des connaissances scientifiques.
坚持把发展经济着力点放在实体经济上，推进产业基础高级化、产业链现代化，保持制造业比重基本稳定，改造提升传统产业，发展壮大战略性新兴产业，促进服务业繁荣发展。|||Nous devons développer avant tout l'économie réelle, promouvoir la mise à niveau des bases industrielles et la modernisation des chaînes industrielles, faire en sorte que le poids de l'industrie manufacturière dans notre économie reste stable, transformer les industries traditionnelles pour faciliter leur montée en gamme, développer les industries émergentes d'importance stratégique et favoriser l'essor du secteur des services.
统筹推进传统基础设施和新型基础设施建设。|||Il faut faire avancer de manière coordonnée la construction des infrastructures traditionnelles et nouvelles.
